Plane ID     Status   Request Time  Runway Time  Turnaround Time
------------------------------------------------------------------
 1				D			0			0				0
 2				L			0			2				2
 3				L			1			4				3
 4				D			1			6				5
 5				L			4			8				4
 6				D			4			10				6
 7				L			5			12				7
 8				D			5			14				9
 9				L			6			16				10
 10				D			6			18				12
 11				L			11			20				9
 12				D			11			22				11
 13				L			12			24				12
 14				D			12			26				14
 15				L			13			28				15
 16				D			13			30				17
 17				L			16			32				16
 18				D			16			34				18
 19				L			17			36				19
 20				D			17			38				21
 21				L			18			40				22
 41				E			40			42				2
 22				D			18			44				26
 23				L			19			46				27
 24				D			19			48				29
 25				L			20			50				30
 26				D			20			52				32
 27				L			22			54				32
 28				D			22			56				34
 29				L			24			58				34
 30				D			24			60				36
 31				L			27			62				35
 32				D			27			64				37
 33				L			30			66				36
 34				D			30			68				38
 35				L			32			70				38
 36				D			32			72				40
 37				L			36			74				38
 38				D			36			76				40
 39				L			39			78				39
 40				D			39			80				41
 84				E			80			82				2
 42				L			43			84				41
 43				D			43			86				43
 44				L			44			88				44
 45				D			44			90				46
 46				L			46			92				46
 47				D			46			94				48
 48				L			50			96				46
 49				D			50			98				48
 50				L			51			100				49
